Date,Baton,Gun,Hands,K9,OC,Taser,Sage,Suspect Injured,Officer Injured,Day,Month,Year
2006-07-22,0,0,1,0,0,0,0,0,0,22,7,2006
2006-07-25,0,0,0,0,1,0,0,1,0,25,7,2006
2006-07-28,0,0,0,0,0,1,0,1,0,28,7,2006
2006-07-29,0,0,1,0,0,0,0,1,0,29,7,2006
2006-08-03,0,0,1,0,0,0,0,0,0,3,8,2006
2006-08-04,0,0,0,0,0,1,0,1,0,4,8,2006
2006-08-06,0,0,0,0,0,0,1,0,0,6,8,2006
2006-08-07,0,0,0,1,0,0,1,1,1,7,8,2006
2006-08-09,0,0,0,1,0,0,0,1,0,9,8,2006
2006-08-10,0,0,0,1,0,0,1,1,0,10,8,2006
2006-08-15,0,0,0,0,0,0,1,1,0,15,8,2006
2006-08-15,0,0,1,0,0,0,0,1,0,15,8,2006
2006-08-17,0,0,1,0,0,1,0,0,0,17,8,2006
2006-08-18,0,0,0,0,0,1,0,1,0,18,8,2006
2006-08-19,0,0,1,0,0,0,0,0,0,19,8,2006
2006-08-22,0,0,1,0,0,0,0,0,0,22,8,2006
2006-08-24,0,0,1,0,0,1,0,1,0,24,8,2006
2006-08-27,0,0,0,0,0,1,0,1,0,27,8,2006
2006-08-27,0,0,1,0,0,1,0,1,0,27,8,2006
2006-08-29,0,0,1,0,0,0,0,1,0,29,8,2006
2006-08-31,1,0,0,1,0,1,0,1,0,31,8,2006
2006-09-03,0,0,0,0,0,1,0,1,0,3,9,2006
2006-09-04,0,0,0,0,0,1,0,1,0,4,9,2006
2006-09-09,0,0,1,0,0,0,0,0,0,9,9,2006
2006-09-10,0,0,1,0,0,0,0,0,0,10,9,2006
2006-09-14,0,0,1,0,0,0,0,0,0,14,9,2006
2006-09-17,0,0,0,0,0,1,0,1,0,17,9,2006
2006-09-19,1,0,1,0,0,1,0,1,0,19,9,2006
2006-09-22,0,0,1,0,0,1,0,0,1,22,9,2006
2006-09-24,0,0,1,0,0,1,0,1,0,24,9,2006
2006-10-02,0,0,0,0,0,1,0,0,0,2,10,2006
2006-10-03,0,0,1,0,1,1,0,1,0,3,10,2006
2006-10-06,0,0,1,0,0,0,0,0,0,6,10,2006
2006-10-06,0,0,1,0,0,1,0,1,0,6,10,2006
2006-10-07,0,0,1,0,0,0,0,0,0,7,10,2006
2006-10-07,0,0,1,0,0,0,0,0,0,7,10,2006
2006-10-07,0,0,1,0,0,1,0,1,0,7,10,2006
2006-10-18,0,0,1,0,0,0,0,0,1,18,10,2006
2006-10-19,1,0,0,0,0,0,0,0,1,19,10,2006
2006-10-21,0,0,0,1,0,0,0,1,0,21,10,2006
2006-10-23,0,0,0,0,1,0,1,0,1,23,10,2006
2006-10-26,0,0,1,0,0,1,0,1,0,26,10,2006
2006-10-27,0,0,1,0,0,0,0,0,1,27,10,2006
2006-10-28,0,0,1,1,0,1,0,1,0,28,10,2006
2006-10-30,0,0,0,0,1,0,0,0,1,30,10,2006
2006-10-31,1,0,0,0,0,0,0,1,0,31,10,2006
2006-11-05,0,0,0,1,0,0,0,0,0,5,11,2006
2006-11-06,0,0,1,0,0,0,0,0,0,6,11,2006
2006-11-10,0,0,0,1,0,0,0,0,0,10,11,2006
2006-11-12,0,0,0,0,1,0,0,1,0,12,11,2006
2006-11-12,1,0,1,0,0,1,0,1,0,12,11,2006
2006-11-12,1,0,1,0,0,1,0,1,0,12,11,2006
2006-11-14,0,0,0,0,1,0,0,0,1,14,11,2006
2006-11-15,0,0,1,0,0,1,0,1,0,15,11,2006
2006-11-15,0,0,1,0,0,0,0,0,1,15,11,2006
2006-11-15,0,0,1,0,0,0,0,0,0,15,11,2006
2006-11-17,0,0,1,0,0,0,0,0,1,17,11,2006
2006-11-18,0,0,0,0,0,1,0,1,0,18,11,2006
2006-11-18,0,0,1,0,0,1,0,1,0,18,11,2006
2006-11-19,0,0,1,0,0,0,0,0,1,19,11,2006
2006-11-21,0,0,1,0,0,0,0,0,1,21,11,2006
2006-11-22,0,0,1,0,0,1,0,0,1,22,11,2006
2006-11-23,0,0,1,0,0,1,0,0,1,23,11,2006
2006-11-23,0,0,0,0,0,1,0,0,0,23,11,2006
2006-11-23,0,0,1,0,0,1,0,0,1,23,11,2006
2006-11-26,0,0,1,0,0,0,0,0,1,26,11,2006
2006-11-29,0,0,1,0,0,1,0,0,1,29,11,2006
2006-12-02,0,0,1,0,0,1,0,0,1,2,12,2006
2006-12-04,0,0,1,0,0,0,0,0,1,4,12,2006
2006-12-06,0,0,1,0,0,1,0,0,1,6,12,2006
2006-12-06,0,0,1,0,0,0,0,0,1,6,12,2006
2006-12-08,0,0,1,0,1,0,1,0,1,8,12,2006
2006-12-13,0,0,0,0,0,1,0,1,0,13,12,2006
2006-12-14,0,0,0,0,0,1,0,1,1,14,12,2006
2006-12-19,0,0,1,0,0,0,1,1,0,19,12,2006
2006-12-22,0,0,1,0,1,0,0,0,0,22,12,2006
2007-01-01,0,0,1,0,0,0,0,1,0,1,1,2007
2007-01-01,0,0,1,0,0,1,0,1,0,1,1,2007
2007-01-07,0,0,1,0,0,1,0,1,0,7,1,2007
2007-01-09,0,0,1,1,0,1,0,1,0,9,1,2007
2007-01-15,0,0,1,0,0,0,0,0,0,15,1,2007
2007-01-20,0,0,1,1,0,1,0,1,0,20,1,2007
2007-01-20,0,0,1,0,0,0,0,0,0,20,1,2007
2007-01-26,0,0,0,0,0,1,0,1,0,26,1,2007
2007-01-28,0,0,1,0,0,1,0,1,1,28,1,2007
2007-01-29,0,0,0,0,0,1,0,1,0,29,1,2007
2007-01-31,0,0,0,1,0,1,0,1,0,31,1,2007
2007-02-06,0,0,1,0,0,1,0,1,0,6,2,2007
2007-02-07,0,0,0,0,0,1,0,1,0,7,2,2007
2007-02-09,0,0,1,0,1,0,0,1,0,9,2,2007
2007-02-11,0,0,1,0,0,0,0,1,0,11,2,2007
2007-02-13,0,0,1,0,0,0,0,0,0,13,2,2007
2007-02-14,0,0,1,0,0,0,0,0,0,14,2,2007
2007-02-16,1,0,0,0,0,0,0,1,0,16,2,2007
2007-02-17,0,0,0,0,0,1,0,1,0,17,2,2007
2007-02-18,0,0,1,0,0,0,0,1,0,18,2,2007
2007-02-18,0,0,1,0,0,0,0,1,0,18,2,2007
2007-02-18,0,0,1,0,0,1,0,0,1,18,2,2007
2007-02-22,0,0,1,0,0,0,0,0,0,22,2,2007
2007-02-24,0,0,1,0,0,1,0,1,0,24,2,2007
2007-02-24,1,0,1,0,0,1,0,1,0,24,2,2007
2007-02-24,0,0,1,0,0,0,0,1,0,24,2,2007
2007-03-01,0,0,1,0,0,0,0,0,0,1,3,2007
2007-03-05,0,0,0,0,0,1,0,1,0,5,3,2007
2007-03-06,0,0,0,0,0,1,0,1,0,6,3,2007
2007-03-07,0,0,0,0,0,0,0,0,0,7,3,2007
2007-03-09,0,0,0,0,0,1,0,1,0,9,3,2007
2007-03-09,0,0,1,0,0,0,0,0,1,9,3,2007
2007-03-14,0,0,1,0,0,0,0,1,0,14,3,2007
2007-03-15,1,0,1,0,0,0,0,1,1,15,3,2007
2007-03-15,0,0,1,0,0,1,0,1,1,15,3,2007
2007-03-17,0,0,1,0,0,0,0,0,1,17,3,2007
2007-03-18,0,0,0,0,0,1,0,0,1,18,3,2007
2007-03-20,0,0,1,0,0,1,0,0,1,20,3,2007
2007-03-21,0,0,0,0,0,0,1,0,1,21,3,2007
2007-03-21,1,0,1,0,0,1,0,0,1,21,3,2007
2007-03-23,0,0,1,0,0,1,0,1,0,23,3,2007
2007-03-23,0,0,1,0,0,0,0,0,0,23,3,2007
2007-03-29,0,0,0,1,0,0,0,0,0,29,3,2007
2007-03-29,0,0,0,0,1,0,0,1,0,29,3,2007
2007-03-30,0,0,0,1,0,0,0,1,0,30,3,2007
2007-04-01,0,0,0,0,0,0,1,1,1,1,4,2007
2007-04-01,0,0,0,1,0,0,1,1,0,1,4,2007
2007-04-03,0,0,0,1,0,0,0,0,0,3,4,2007
2007-04-04,1,0,1,0,0,1,0,1,0,4,4,2007
2007-04-04,0,0,0,0,0,1,0,1,0,4,4,2007
2007-04-04,0,0,0,1,0,0,0,0,0,4,4,2007
2007-04-08,0,0,0,0,0,0,1,1,0,8,4,2007
2007-04-10,0,0,1,0,0,1,0,1,0,10,4,2007
2007-04-11,0,0,0,0,0,0,1,1,0,11,4,2007
